4,FatTree,MC,4,107380784,232
2,FatTree,MN,12,724907588,3013
4,DCell,MN,4,163229696,176
2,FatTree,MC,12,1249066624,3007
4,FatTree,MC,4,108793568,232
4,FatTree,MC,4,110078400,232
2,DCell,MC,12,559327700,1107
2,FatTree,MC,12,1232220928,3007
4,DCell,MN,4,164741120,176
4,FatTree,MN,4,198439395,244
4,DCell,MN,12,231706942,1590
4,FatTree,MN,12,442814368,4540
4,FatTree,MN,4,198012640,244
2,DCell,MC,4,72172328,115
2,DCell,MN,12,250769586,1113
4,DCell,MC,4,88928256,164
2,FatTree,MN,4,131884583,165
4,FatTree,MN,12,456728960,4540
4,DCell,MC,12,500079168,1578
2,DCell,MN,4,131188434,121
2,DCell,MC,4,68548971,115
2,DCell,MN,4,133718197,121
4,DCell,MC,4,92504064,164
2,FatTree,MC,4,58431307,159
4,DCell,MC,4,94945280,164
2,DCell,MN,4,126717957,121
2,FatTree,MN,4,138880967,165
4,FatTree,MC,4,104666208,232
4,FatTree,MC,4,98813636,232
2,DCell,MN,12,163615680,1113
2,DCell,MC,12,438396832,1107
4,DCell,MC,12,493258240,1578
4,FatTree,MC,12,1383355520,4528
4,DCell,MC,4,96735232,164
2,FatTree,MN,4,126031677,165
2,DCell,MC,12,435835569,1107
2,DCell,MC,12,443211872,1107
4,DCell,MC,4,87433216,164
4,FatTree,MN,12,587985616,4540
2,FatTree,MN,4,93714694,165
4,DCell,MC,12,505182912,1578
4,FatTree,MN,4,132387512,244
2,FatTree,MN,4,100292806,165
2,FatTree,MC,4,52623310,159
2,FatTree,MN,12,667622426,3013
4,FatTree,MN,12,622660864,4540
4,DCell,MC,12,512968832,1578
2,FatTree,MC,4,49511655,159
2,FatTree,MN,12,777064450,3013
2,DCell,MN,12,207665264,1113
4,DCell,MN,12,189534928,1590
4,DCell,MN,4,160116736,176
4,FatTree,MC,12,1482504742,4528
2,DCell,MN,4,128960230,121
4,FatTree,MC,4,111521665,232
2,DCell,MN,4,123195270,121
2,DCell,MN,4,127985063,121
4,FatTree,MN,12,585806336,4540
2,FatTree,MN,12,668235856,3013
4,FatTree,MN,12,434957296,4540
4,DCell,MC,12,536142764,1578
2,DCell,MC,4,72770196,115
2,FatTree,MN,12,692059200,3013
4,DCell,MN,12,229884904,1590
4,DCell,MC,12,528671712,1578
2,FatTree,MC,4,54282899,159
2,FatTree,MC,12,1222655846,3007
2,FatTree,MC,12,1211013376,3007
4,FatTree,MC,12,1469448000,4528
4,DCell,MN,12,249855520,1590
4,DCell,MN,12,212564352,1590
2,FatTree,MN,12,663292608,3013
2,FatTree,MN,12,693294976,3013
4,FatTree,MN,4,168453328,244
4,FatTree,MN,4,170429280,244
2,FatTree,MN,4,99378859,165
2,DCell,MC,4,73001483,115
2,FatTree,MN,12,691014400,3013
2,DCell,MN,12,274431002,1113
2,DCell,MN,12,170238076,1113
2,FatTree,MN,4,95275031,165
2,FatTree,MC,12,1225441385,3007
2,DCell,MC,12,431159060,1107
4,FatTree,MC,12,1494280224,4528
2,DCell,MC,4,74776504,115
2,FatTree,MN,12,721851526,3013
4,DCell,MN,12,243058944,1590
4,DCell,MN,4,158306304,176
4,FatTree,MC,4,107113760,232
2,DCell,MN,4,131477300,121
4,FatTree,MN,4,135637038,244
2,FatTree,MC,12,1219470345,3007
4,FatTree,MC,4,107644080,232
4,FatTree,MC,12,1348730776,4528
4,FatTree,MC,4,105289440,232
2,FatTree,MN,4,127920009,165
2,DCell,MN,12,168811479,1113
2,FatTree,MC,4,50993401,159
2,FatTree,MC,4,63117731,159
2,FatTree,MC,12,1226036924,3007
4,DCell,MC,12,511870784,1578
2,FatTree,MC,4,55052180,159
2,DCell,MC,12,436518696,1107
2,DCell,MN,12,252921917,1113
4,FatTree,MN,4,170161360,244
2,DCell,MN,4,100332975,121
4,FatTree,MC,12,1416058528,4528
4,DCell,MN,12,239311776,1590
4,FatTree,MN,12,356622048,4540
2,FatTree,MC,4,63473688,159
4,DCell,MC,4,90562560,164
2,DCell,MC,4,73539642,115
4,DCell,MN,4,156753920,176
4,FatTree,MN,12,441172280,4540
4,DCell,MN,12,173433440,1590
2,DCell,MN,12,257423601,1113
4,DCell,MC,4,88256512,164
2,DCell,MC,4,66205195,115
4,FatTree,MC,12,1405386400,4528
4,DCell,MC,4,85807104,164
2,DCell,MC,12,436140083,1107
2,FatTree,MC,12,1247734328,3007
4,FatTree,MC,12,1445364576,4528
4,DCell,MN,4,156823552,176
2,FatTree,MC,12,1223733195,3007
4,DCell,MN,4,131248128,176
2,DCell,MC,4,73711675,115
4,DCell,MN,12,220593328,1590
4,DCell,MN,4,157847552,176
4,DCell,MN,12,199327072,1590
2,DCell,MN,12,280725676,1113
4,DCell,MN,4,162455552,176
4,FatTree,MN,4,136749848,244
4,DCell,MC,12,544733296,1578
2,FatTree,MC,4,51714625,159
4,FatTree,MC,12,1443604016,4528
4,FatTree,MN,4,139533968,244
2,DCell,MC,12,433905394,1107
2,FatTree,MN,12,716394320,3013
2,DCell,MN,12,177030148,1113
4,DCell,MC,12,538283502,1578
4,DCell,MC,4,92217344,164
4,DCell,MC,12,490144944,1578
2,DCell,MN,4,125330469,121
4,FatTree,MC,4,108102798,232
4,DCell,MN,4,161746944,176
2,FatTree,MN,4,236751237,165
2,FatTree,MN,4,131708509,165
2,DCell,MC,12,435407984,1107
2,FatTree,MC,4,54880585,159
4,FatTree,MN,4,162757088,244
4,DCell,MC,4,86695936,164
2,DCell,MC,12,447378704,1107
4,FatTree,MC,12,1433953456,4528
4,FatTree,MN,12,409785184,4540
2,DCell,MC,4,69035846,115
4,FatTree,MN,12,532733512,4540
2,DCell,MN,4,125752443,121
2,FatTree,MC,12,1211148864,3007
2,DCell,MC,4,71214690,115
