MininetDistribuido,TamanhoTopologia,TamanhoCluster,cenário,memória,processos,conexoes,elementos,links
MN,4,2,1,128183837,75,0,36,48
MC,4,2,2,55408138,159,18,36,48
MN,12,2,3,701573735,1483,0,612,1296
MC,12,2,4,1226852182,3007,306,612,1296
MN,4,4,5,161256146,109,0,36,48
MC,4,4,6,106940434,232,27,36,48
MN,12,4,7,487126646,2245,0,612,1296
MC,12,4,8,1432268624,4528,459,612,1296
